category,product_id,article_code,product_name,product_type,color_variant,is_primary,status,soldout_flag,match_quality,unsplash_photo_url,photo_title,intended_filename,notes,searched_on
Men's Shirts,4,MS-TS-004,City Grid Graphic T-Shirt,Urban graphic crew-neck T-shirt,Charcoal,False,CLOSEST_MATCH,False,COLOR_AND_TYPE_CLOSE,https://unsplash.com/photos/young-man-stands-on-asphalt-adjusting-his-dark-graphic-t-shirt-AK87QT6e2pc,Dark graphic T-shirt,ms-ts-004_charcoal_hero.webp,Dark/charcoal graphic tee; graphic differs from the SKU.,2026-08-06
Men's Shirts,4,MS-TS-004,City Grid Graphic T-Shirt,Urban graphic crew-neck T-shirt,White,False,CLOSEST_MATCH,False,COLOR_AND_TYPE_CLOSE,https://unsplash.com/photos/man-wearing-a-white-t-shirt-with-a-graphic-ErfVCDnGdXg,White graphic T-shirt,ms-ts-004_white_hero.webp,White graphic tee; graphic differs from the SKU.,2026-08-06
Men's Shirts,5,MS-TS-005,Core Crew Neck T-Shirt,Plain basic crew-neck T-shirt,White,True,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/mens-white-crew-neck-plain-t-shirt-hYskLMtgGgY,Men's white crew-neck T-shirt,ms-ts-005_white_hero.webp,Plain white crew-neck tee.,2026-08-06
Men's Shirts,5,MS-TS-005,Core Crew Neck T-Shirt,Plain basic crew-neck T-shirt,Black,False,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/mens-black-crew-neck-t-shirt-Wm5GXRHIs1k,Men's black crew-neck T-shirt,ms-ts-005_black_hero.webp,Plain black crew-neck tee.,2026-08-06
Men's Shirts,5,MS-TS-005,Core Crew Neck T-Shirt,Plain basic crew-neck T-shirt,Light gray,False,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/man-wearing-gray-crew-neck-t-shirt-c-H-dYbFGRw,Man wearing gray crew-neck T-shirt,ms-ts-005_light-gray_hero.webp,Gray crew-neck tee.,2026-08-06
Men's Shirts,5,MS-TS-005,Core Crew Neck T-Shirt,Plain basic crew-neck T-shirt,Navy,False,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/shallow-focus-photo-of-man-in-navy-blue-crew-neck-t-shirt-YpHa1VyFbt0,Man in navy crew-neck T-shirt,ms-ts-005_navy_hero.webp,Navy crew-neck tee.,2026-08-06
Men's Shirts,6,MS-PL-006,Heritage Pique Polo,Classic pique polo shirt,Navy,True,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/a-man-in-a-navy-polo-shirt-with-arms-crossed-126jj94OSY8,Man in navy polo shirt,ms-pl-006_navy_hero.webp,Navy polo shirt.,2026-08-06
Men's Shirts,6,MS-PL-006,Heritage Pique Polo,Classic pique polo shirt,White,False,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/man-wearing-white-polo-shirt-CceG6jpl19M,Man wearing white polo shirt,ms-pl-006_white_hero.webp,White polo shirt.,2026-08-06
Men's Shirts,6,MS-PL-006,Heritage Pique Polo,Classic pique polo shirt,Black,False,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/man-in-black-polo-shirt-CQgxaBhuzhA,Man in black polo shirt,ms-pl-006_black_hero.webp,Black polo shirt.,2026-08-06
Men's Shirts,6,MS-PL-006,Heritage Pique Polo,Classic pique polo shirt,Maroon,False,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/mens-maroon-polo-shirt-vofmJUVScDE,Men's maroon polo shirt,ms-pl-006_maroon_hero.webp,Maroon polo shirt.,2026-08-06
Men's Shirts,7,MS-FS-007,Monarch Mandarin Collar Shirt,Refined Mandarin-collar shirt,Cream,True,CLOSEST_MATCH,False,TYPE_MATCH_COLOR_CLOSE,https://unsplash.com/photos/man-wearing-mandarin-collared-top-near-wall-lltQWb9YbBU,Man wearing Mandarin-collared top,ms-fs-007_cream_hero.webp,Mandarin collar is confirmed; cream shade is not fully verified.,2026-08-06
Men's Shirts,7,MS-FS-007,Monarch Mandarin Collar Shirt,Refined Mandarin-collar shirt,White,False,CLOSEST_MATCH,False,COLOR_AND_TYPE_CLOSE,https://unsplash.com/photos/woman-in-white-shirt-against-gray-wall-4vXy06iLTO8,White shirt against gray wall,ms-fs-007_white_hero.webp,"White Mandarin/linen-style shirt, but female model.",2026-08-06
Men's Shirts,7,MS-FS-007,Monarch Mandarin Collar Shirt,Refined Mandarin-collar shirt,Black,False,UNAVAILABLE,True,NONE,,,ms-fs-007_black_hero.webp,Three searches did not produce a free black Mandarin-collar shirt close enough.,2026-08-06
Men's Shirts,8,MS-CS-008,Breeze Short Sleeve Shirt,Lightweight casual short-sleeve shirt,Peach,True,UNAVAILABLE,True,NONE,,,ms-cs-008_peach_hero.webp,"Three searches returned peach polos or non-short-sleeve shirts, not the required casual button-up.",2026-08-06
Men's Shirts,8,MS-CS-008,Breeze Short Sleeve Shirt,Lightweight casual short-sleeve shirt,Sand beige,False,UNAVAILABLE,True,NONE,,,ms-cs-008_sand-beige_hero.webp,No sufficiently close free sand-beige short-sleeve button-up found after three searches.,2026-08-06
Men's Shirts,8,MS-CS-008,Breeze Short Sleeve Shirt,Lightweight casual short-sleeve shirt,Light blue,False,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/man-wearing-blue-button-up-collared-short-sleeved-shirt-jyoC-YG_c7w,Blue short-sleeved button-up shirt,ms-cs-008_light-blue_hero.webp,Light-blue short-sleeve button-up shirt.,2026-08-06
Men's Shirts,23,MS-TS-023,Limited Drop Neon Tee,Bold streetwear crew-neck T-shirt,Neon green,True,UNAVAILABLE,True,NONE,,,ms-ts-023_neon-green_hero.webp,"Green tees were found, but not a credible neon-green streetwear tee after three searches.",2026-08-06
Men's Shirts,23,MS-TS-023,Limited Drop Neon Tee,Bold streetwear crew-neck T-shirt,Neon orange,False,CLOSEST_MATCH,False,TYPE_MATCH_COLOR_CLOSE,https://unsplash.com/photos/a-man-leaning-against-a-wall-wearing-an-orange-shirt--rF_v9Mqz9o,Man wearing orange shirt,ms-ts-023_neon-orange_hero.webp,Bright orange relaxed tee; neon intensity is not exact.,2026-08-06
Men's Shirts,23,MS-TS-023,Limited Drop Neon Tee,Bold streetwear crew-neck T-shirt,Neon yellow,False,CLOSEST_MATCH,False,TYPE_MATCH_COLOR_CLOSE,https://unsplash.com/photos/a-man-in-a-yellow-t-shirt-smiles-at-the-camera-ETer5qatBsM,Man in yellow T-shirt,ms-ts-023_neon-yellow_hero.webp,Bright yellow tee; neon intensity is not exact.,2026-08-06
Men's Pants,9,MP-JN-009,Ridge Slim Fit Jeans,Slim-fit denim jeans,Medium blue,True,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/mens-blue-denim-fitted-jeans-yAQWyn2mJi4,Men's blue fitted jeans,mp-jn-009_medium-blue_hero.webp,Medium-blue fitted denim jeans.,2026-08-06
Men's Pants,9,MP-JN-009,Ridge Slim Fit Jeans,Slim-fit denim jeans,Dark blue,False,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/a-pair-of-dark-blue-jeans-on-a-white-background-wNP79A-_bRY,Dark-blue jeans,mp-jn-009_dark-blue_hero.webp,Dark-blue jeans; product-only presentation.,2026-08-06
Men's Pants,9,MP-JN-009,Ridge Slim Fit Jeans,Slim-fit denim jeans,Black,False,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/man-in-black-denim-jeans-wjulyIQi3C4,Man in black denim jeans,mp-jn-009_black_hero.webp,Black denim jeans.,2026-08-06
Men's Pants,10,MP-JN-010,Foundry Straight Jeans,Straight-fit denim jeans,Dark blue,True,CLOSEST_MATCH,False,COLOR_AND_TYPE_CLOSE,https://unsplash.com/photos/mens-blue-denim-jeans-ULtUCTC8lGg,Men's blue denim jeans,mp-jn-010_dark-blue_hero.webp,Blue denim jeans; straight fit is not fully verifiable.,2026-08-06
Men's Pants,10,MP-JN-010,Foundry Straight Jeans,Straight-fit denim jeans,Medium blue,False,CLOSEST_MATCH,False,COLOR_AND_TYPE_CLOSE,https://unsplash.com/photos/man-wearing-blue-denim-jeans-rJGrhGljDuc,Man wearing blue denim jeans,mp-jn-010_medium-blue_hero.webp,Medium-blue denim jeans; straight fit not fully confirmed.,2026-08-06
Men's Pants,10,MP-JN-010,Foundry Straight Jeans,Straight-fit denim jeans,Black,False,CLOSEST_MATCH,False,COLOR_AND_TYPE_CLOSE,https://unsplash.com/photos/black-jeans-cY22e3ywkic,Black jeans,mp-jn-010_black_hero.webp,Black jeans; straight fit is not fully confirmed.,2026-08-06
Men's Pants,11,MP-CP-011,Avenue Cotton Chinos,Smart-casual cotton chinos,Khaki,True,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/a-man-in-a-white-shirt-and-khaki-pants-standing-in-front-of-a-C1sDxiSsE-8,Man in khaki pants,mp-cp-011_khaki_hero.webp,Khaki smart-casual pants/chinos.,2026-08-06
Men's Pants,11,MP-CP-011,Avenue Cotton Chinos,Smart-casual cotton chinos,Navy,False,CLOSEST_MATCH,False,COLOR_AND_TYPE_CLOSE,https://unsplash.com/photos/man-wearing-blue-pants-walking-on-street-NrlHjNUqqgM,Man wearing blue pants,mp-cp-011_navy_hero.webp,Blue/navy pants; chino construction is not fully verifiable.,2026-08-06
Men's Pants,11,MP-CP-011,Avenue Cotton Chinos,Smart-casual cotton chinos,Olive,False,UNAVAILABLE,True,NONE,,,mp-cp-011_olive_hero.webp,No free olive men's chino image close enough after three searches.,2026-08-06
Men's Pants,12,MP-TR-012,Executive Pleated Trousers,Formal pleated trousers,Black,True,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/man-in-blue-dress-shirt-and-black-dress-pants-wearing-black-necktie-I3C5ctmT8Z0,Black dress pants,mp-tr-012_black_hero.webp,Black formal dress trousers; pleats are not fully visible.,2026-08-06
Men's Pants,12,MP-TR-012,Executive Pleated Trousers,Formal pleated trousers,Charcoal,False,CLOSEST_MATCH,False,COLOR_AND_TYPE_CLOSE,https://unsplash.com/photos/man-wearing-gray-dress-shirt-and-gray-pants-behind-of-black-and-red-charcoal-train-TaAT8l7X5jo,Man wearing gray pants,mp-tr-012_charcoal_hero.webp,Charcoal/gray formal pants; pleats not confirmed.,2026-08-06
Men's Pants,12,MP-TR-012,Executive Pleated Trousers,Formal pleated trousers,Navy,False,CLOSEST_MATCH,False,COLOR_AND_TYPE_CLOSE,https://unsplash.com/photos/a-man-in-a-white-shirt-and-blue-pants-Ga6YYbBWa5I,Man in blue pants,mp-tr-012_navy_hero.webp,Navy/blue formal-looking pants; pleats not confirmed.,2026-08-06
Men's Pants,13,MP-TR-013,Comfort Stretch Trousers,Smart-casual stretch trousers,Charcoal,True,CLOSEST_MATCH,False,COLOR_MATCH_TYPE_CLOSE,https://unsplash.com/photos/man-in-gray-crew-neck-t-shirt-and-gray-pants-standing-on-brown-wooden-bridge-during-YnKKGzQjpTw,Man in gray pants,mp-tr-013_charcoal_hero.webp,Charcoal/gray pants; stretch-trouser construction not confirmed.,2026-08-06
Men's Pants,13,MP-TR-013,Comfort Stretch Trousers,Smart-casual stretch trousers,Black,False,CLOSEST_MATCH,False,COLOR_MATCH_TYPE_CLOSE,https://unsplash.com/photos/man-in-gray-button-up-shirt-and-black-pants-sitting-on-brown-rock-during-daytime-VL2RkOMiLPk,Man in black pants,mp-tr-013_black_hero.webp,Black pants; smart-casual stretch fabric not confirmed.,2026-08-06
Men's Pants,13,MP-TR-013,Comfort Stretch Trousers,Smart-casual stretch trousers,Stone,False,UNAVAILABLE,True,NONE,,,mp-tr-013_stone_hero.webp,No free stone-color men's stretch-trouser image close enough after three searches.,2026-08-06
Men's Pants,14,MP-CG-014,Utility Six-Pocket Cargo,Six-pocket cargo pants,Olive green,True,UNAVAILABLE,True,NONE,,,mp-cg-014_olive-green_hero.webp,Cargo results did not provide a sufficiently clear free olive six-pocket cargo image.,2026-08-06
Men's Pants,14,MP-CG-014,Utility Six-Pocket Cargo,Six-pocket cargo pants,Black,False,UNAVAILABLE,True,NONE,,,mp-cg-014_black_hero.webp,No clearly identifiable free black six-pocket cargo image after three searches.,2026-08-06
Men's Pants,14,MP-CG-014,Utility Six-Pocket Cargo,Six-pocket cargo pants,Khaki,False,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/man-in-black-t-shirt-and-khaki-pants-ZsUCBnNx5_0,Man in khaki cargo pants,mp-cg-014_khaki_hero.webp,Khaki pants explicitly tagged as cargo pants.,2026-08-06
Men's Pants,15,MP-SH-015,Weekend Denim Shorts,Casual denim shorts,Medium blue,True,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/person-in-blue-denim-shorts-and-gray-and-black-nike-athletic-shoes-l2q9a2MfXyU,Person in blue denim shorts,mp-sh-015_medium-blue_hero.webp,Medium-blue denim shorts.,2026-08-06
Men's Pants,15,MP-SH-015,Weekend Denim Shorts,Casual denim shorts,Light blue,False,CLOSEST_MATCH,False,COLOR_AND_TYPE_CLOSE,https://unsplash.com/photos/person-wearing-light-blue-sneakers-and-denim-shorts-mVo0wDyRMvY,Person wearing denim shorts,mp-sh-015_light-blue_hero.webp,Light-wash denim shorts; product is partially framed.,2026-08-06
Men's Pants,15,MP-SH-015,Weekend Denim Shorts,Casual denim shorts,Black,False,UNAVAILABLE,True,NONE,,,mp-sh-015_black_hero.webp,"Black shorts were found, but none were clearly black denim shorts after three searches.",2026-08-06
Men's Pants,16,MP-CP-016,Classic Cotton Pants,Everyday cotton pants,Brown,True,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/man-in-a-brown-pants-lFQV2lt7qcw,Man in brown pants,mp-cp-016_brown_hero.webp,Brown casual pants.,2026-08-06
Men's Pants,16,MP-CP-016,Classic Cotton Pants,Everyday cotton pants,Taupe,False,UNAVAILABLE,True,NONE,,,mp-cp-016_taupe_hero.webp,No free taupe men's cotton-pants image close enough after three searches.,2026-08-06
Men's Pants,16,MP-CP-016,Classic Cotton Pants,Everyday cotton pants,Dark khaki,False,CLOSEST_MATCH,False,COLOR_MATCH_TYPE_CLOSE,https://unsplash.com/photos/a-man-wearing-a-paris-shirt-and-khaki-pants-MrH9XNLmeIQ,Man wearing khaki pants,mp-cp-016_dark-khaki_hero.webp,Dark-khaki pants; cotton construction not confirmed.,2026-08-06
Men's Pants,24,MP-TR-024,Studio Drawstring Trousers,Minimal relaxed drawstring trousers,Taupe,True,UNAVAILABLE,True,NONE,,,mp-tr-024_taupe_hero.webp,No free taupe relaxed drawstring-trouser image after three searches.,2026-08-06
Men's Pants,24,MP-TR-024,Studio Drawstring Trousers,Minimal relaxed drawstring trousers,Stone,False,UNAVAILABLE,True,NONE,,,mp-tr-024_stone_hero.webp,No free stone relaxed drawstring-trouser image after three searches.,2026-08-06
Men's Pants,24,MP-TR-024,Studio Drawstring Trousers,Minimal relaxed drawstring trousers,Charcoal,False,UNAVAILABLE,True,NONE,,,mp-tr-024_charcoal_hero.webp,No free charcoal relaxed woven drawstring-trouser image after three searches.,2026-08-06
Activewear,17,AW-GT-017,Velocity Training T-Shirt,Performance training T-shirt,Black with teal accents,True,CLOSEST_MATCH,False,COLOR_MATCH_TYPE_CLOSE,https://unsplash.com/photos/man-wearing-black-and-teal-shirt-on-sea-shore-1iCe-luOoQ4,Man wearing black and teal shirt,aw-gt-017_black-with-teal-accents_hero.webp,Black-and-teal shirt; performance construction is not confirmed.,2026-08-06
Activewear,17,AW-GT-017,Velocity Training T-Shirt,Performance training T-shirt,Navy with blue accents,False,CLOSEST_MATCH,False,TYPE_MATCH_COLOR_CLOSE,https://unsplash.com/photos/man-in-blue-crew-neck-t-shirt-and-black-pants-wearing-black-and-gray-dumbbells-5Lp7PJONCFw,Man in blue athletic T-shirt,aw-gt-017_navy-with-blue-accents_hero.webp,Blue athletic tee; exact navy/blue accent layout is not visible.,2026-08-06
Activewear,17,AW-GT-017,Velocity Training T-Shirt,Performance training T-shirt,Gray with lime accents,False,UNAVAILABLE,True,NONE,,,aw-gt-017_gray-with-lime-accents_hero.webp,No credible free gray performance tee with lime accents after three searches.,2026-08-06
Activewear,18,AW-GS-018,Motion Training Shorts,Performance training shorts,Black with orange accents,True,UNAVAILABLE,True,NONE,,,aw-gs-018_black-with-orange-accents_hero.webp,"Black/orange results showed separate garments or orange shorts, not black shorts with orange accents.",2026-08-06
Activewear,18,AW-GS-018,Motion Training Shorts,Performance training shorts,Charcoal with teal accents,False,UNAVAILABLE,True,NONE,,,aw-gs-018_charcoal-with-teal-accents_hero.webp,No free charcoal training shorts with teal accents after three searches.,2026-08-06
Activewear,18,AW-GS-018,Motion Training Shorts,Performance training shorts,Navy with white accents,False,UNAVAILABLE,True,NONE,,,aw-gs-018_navy-with-white-accents_hero.webp,No free navy training shorts with white accents after three searches.,2026-08-06
Activewear,19,AW-TP-019,Sprint Tapered Track Pants,Tapered performance track pants,Black with teal details,True,UNAVAILABLE,True,NONE,,,aw-tp-019_black-with-teal-details_hero.webp,No free black tapered track pants with teal detailing after three searches.,2026-08-06
Activewear,19,AW-TP-019,Sprint Tapered Track Pants,Tapered performance track pants,Charcoal with white details,False,CLOSEST_MATCH,False,TYPE_MATCH_COLOR_CLOSE,https://unsplash.com/photos/man-in-a-gray-sweater-and-black-and-white-track-pants-TyGF7zx5T2Y,Man in black-and-white track pants,aw-tp-019_charcoal-with-white-details_hero.webp,Black/white track pants; dominant shade is darker than charcoal.,2026-08-06
Activewear,19,AW-TP-019,Sprint Tapered Track Pants,Tapered performance track pants,Navy with red details,False,UNAVAILABLE,True,NONE,,,aw-tp-019_navy-with-red-details_hero.webp,No free navy tapered track pants with red detailing after three searches.,2026-08-06
Activewear,20,AW-HD-020,Metro Fleece Hoodie,Pullover fleece hoodie,Burgundy,True,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/man-in-maroon-hoodie-leaning-on-wall-overlooking-sea-cQVYdkQKsvQ,Man in maroon hoodie,aw-hd-020_burgundy_hero.webp,Maroon/burgundy pullover hoodie.,2026-08-06
Activewear,20,AW-HD-020,Metro Fleece Hoodie,Pullover fleece hoodie,Black,False,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/mens-black-pullover-hoodie-zf2Uwq-aFJ4,Men's black pullover hoodie,aw-hd-020_black_hero.webp,Black pullover hoodie.,2026-08-06
Activewear,20,AW-HD-020,Metro Fleece Hoodie,Pullover fleece hoodie,Heather gray,False,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/man-wearing-gray-pullover-hoodie-rSZ8YeNw4w4,Man wearing gray pullover hoodie,aw-hd-020_heather-gray_hero.webp,Gray pullover hoodie.,2026-08-06
Activewear,20,AW-HD-020,Metro Fleece Hoodie,Pullover fleece hoodie,Navy,False,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/shallow-focus-photo-of-navy-blue-pullover-hoodie-kpO3XVLzGGg,Navy-blue pullover hoodie,aw-hd-020_navy_hero.webp,Navy-blue pullover hoodie.,2026-08-06
Activewear,21,AW-GJ-021,Aero Gym Joggers,Tapered gym joggers,Dark gray,True,CLOSEST_MATCH,False,COLOR_AND_TYPE_CLOSE,https://unsplash.com/photos/a-man-standing-on-a-sidewalk-wearing-a-sweater-and-sweatpants-Vuyeudrim2I,Man wearing gray sweatpants,aw-gj-021_dark-gray_hero.webp,Gray sweatpants/joggers; exact athletic tapered details are not fully visible.,2026-08-06
Activewear,21,AW-GJ-021,Aero Gym Joggers,Tapered gym joggers,Black,False,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/a-man-wearing-a-black-hoodie-and-sweatpants-48-R71Sd_d8,Man wearing black joggers,aw-gj-021_black_hero.webp,Black joggers/sweatpants clearly shown.,2026-08-06
Activewear,21,AW-GJ-021,Aero Gym Joggers,Tapered gym joggers,Navy,False,CLOSEST_MATCH,False,COLOR_AND_TYPE_CLOSE,https://unsplash.com/photos/woman-wearing-white-crew-neck-long-sleeved-shirt-and-blue-jogger-pants-IiFB9sWi4MI,Blue jogger pants,aw-gj-021_navy_hero.webp,"Blue/navy jogger pants, but worn by a woman.",2026-08-06
Activewear,22,AW-CT-022,Flex Compression Tee,Tight-fit compression T-shirt,Black with blue accents,True,CLOSEST_MATCH,False,COLOR_MATCH_TYPE_CLOSE,https://unsplash.com/photos/mens-black-and-blue-crew-neck-shirt-vlx7Z2X5f5o,Black and blue crew-neck shirt,aw-ct-022_black-with-blue-accents_hero.webp,Black-and-blue athletic-looking crew shirt; compression fit is not confirmed.,2026-08-06
Activewear,22,AW-CT-022,Flex Compression Tee,Tight-fit compression T-shirt,Black with red accents,False,CLOSEST_MATCH,False,COLOR_MATCH_TYPE_CLOSE,https://unsplash.com/photos/man-wearing-black-and-red-crew-neck-shirt-3mMvCsW6ZYs,Black and red crew-neck shirt,aw-ct-022_black-with-red-accents_hero.webp,Black-and-red crew shirt; compression construction is not confirmed.,2026-08-06
Activewear,22,AW-CT-022,Flex Compression Tee,Tight-fit compression T-shirt,Navy with gray accents,False,UNAVAILABLE,True,NONE,,,aw-ct-022_navy-with-gray-accents_hero.webp,No free navy compression tee with gray technical accents after three searches.,2026-08-06
